par_id	art_id	keyword	country	text	label	orig_label	probability	pos	neg	pos_neg
1	@@24942188	hopeless	ph	we 're living in times of absolute insanity , as i 'm pretty sure most people are aware . for a while , waking up every day to check the news seemed to carry with it the same feeling of panic and dread that action heroes probably face when they 're trying to decide whether to cut the blue or green wire on a ticking bomb -- except the bomb 's instructions long ago burned in a fire and imminent catastrophe seems the likeliest outcome . it 's hard to stay that on-edge for that long , though , so it 's natural for people to become inured to this constant chaos , to slump into a malaise of hopelessness and pessimism .	0	0	1.0	0.9957013726234436	0.004298552870750427	1
2	@@21968160	migrant	gh	in libya today , there are countless number of ghanaian and nigerian immigrants . these are the two countries with key macroeconomic challenges including unemployment . let 's tackle this issue from the root and not the fruit . thank you	0	0	1.0	0.07737856358289719	0.9226214289665222	0
3	@@16584954	immigrant	ie	"""white house press secretary sean spicer said that the focus of immigration actions would be illegal immigrants """" who have also otherwise violated our laws """" ."""	0	0	1.0	0.9785379767417908	0.021461982280015945	1
4	@@7811231	disabled	nz	council customers only signs would be displayed . two of the spaces would be reserved for disabled persons and there would be five p30 spaces and eight p60 ones .	0	0	1.0	0.9971367120742798	0.0028632322791963816	1
5	@@1494111	refugee	ca	""""""" just like we received migrants fleeing el salvador and guatemala in the ' 80s and ' 90s , just like we 've seen thousands of economic refugees , we started seeing mexicans fleeing the violence in ju ? rez and other parts of mexico , """" says shelter director ruben garcia ."""	0	0	1.0	0.1638128012418747	0.8361871838569641	0
6	@@9382277	in-need	in	to bring down high blood sugar levels , insulin needs to be taken . if you are the type who requires insulin during meal time , you will have to take correct doses of insulin in order to lower your blood glucose . decision needs to be taken on when to inject it and how many times to inject . for this , you have to take the help of a health care professional .	0	0	1.0	0.9979280233383179	0.0020719601307064295	1
7	@@7562079	refugee	za	the european union is making an historic mistake in its haste to conclude a refugee deal with turkey , overlooking human rights violations that risk plunging the bloc 's largest membership candidate into civil war , said selahattin demirtas , leader of the nation 's most prominent pro-kurdish party .	0	0	1.0	0.9994804263114929	0.0005195667617954314	1
8	@@23663488	hopeless	nz	""""""" they 're either hopeless for being beaten by a 10-year-old , or if they beat him , they 're a big bully . that 's the joke . in reality he 's got a great game . """""""	0	0	1.0	0.07599515467882156	0.9240049123764038	0
9	@@3449225	homeless	ph	nueva era , ilocos norte - no family shall be homeless under the watch of the municipal government here , said town mayor aldrin garvida .	0	1	0.5	0.05016916245222092	0.9498308897018433	0
10	@@2485090	in-need	nz	his spokesman said the kremlin needed more information about the rebels ' decision . he also said the rebel statement came only after the western-backed government in kiev had declared it would press on with its military operation , implying that ukraine was to blame for the rebels ' refusal to heed putin .	0	0	1.0	0.9982592463493347	0.001740752486512065	1
11	@@21290047	migrant	in	a federal appeals court on tuesday cleared the way for a 17-year-old immigrant held in custody in texas to obtain an abortion . the full us court of appeals for the district of columbia circuit ruled 6-3 in favor of the teen . the decision overturned a ruling by a three-judge panel of the court that at least temporarily blocked her from getting an abortion . the trump administration could still appeal the decision to the supreme court .	0	0	1.0	0.9475716948509216	0.05242826044559479	1
12	@@16996915	vulnerable	gb	we find ourselves in this situation because people are living longer and a number of more local factors including that the number of people requiring nursing care in their care home is increasing coupled with the increased demands for council-funded care to vulnerable people within their own homes .	0	0	1.0	0.9531608819961548	0.046839047223329544	1
13	@@13499386	women	pk	""""""" ghostbusters """" is a resurrection of the 1984 hit film but this time the leads are women , not men ."""	0	0	1.0	0.9163920879364014	0.08360794931650162	1
14	@@14991409	poor-families	my	in the government 's commitment to protect vulnerable groups , najib in the 2017 budget proposed financial assistance to poor families including general assistance up to rm300 per month and children assistance up to rm450 per month .	0	0	1.0	0.5363352298736572	0.4636647701263428	1
15	@@16989969	vulnerable	au	when my dad died unexpectedly in 2014 , he was putting the finishing touches to his forthcoming book , climate change and the health of nations . the book examines historical records and finds that human health is very sensitive to changes in climate . and drawing on history , he warns that the impacts of climatic change -- such as environmental disaster , increasing temperatures , and food insecurity -- will amplify infectious diseases , under-nutrition , and heat-related deaths , especially among vulnerable populations , such as children and forcibly displaced people .	0	0	1.0	0.004582828376442194	0.9954171180725098	0
16	@@23471689	disabled	pk	apart from pakistan and hosts england , bangladesh disabled cricket team will also participate in the tournament . <h> shahid afridi bags 11 man of the match awards in t20is ( most by any player ) <h> ab de villiers bagged a pair for the first time in his test career <h> super gossip	0	0	1.0	0.2001909464597702	0.7998089790344238	0
17	@@8886184	hopeless	sg	for those few seconds , humanity is free of its shackles and one glimpses hope amid the hopelessness .	0	0	1.0	0.002717101015150547	0.997282862663269	0
18	@@14988344	migrant	in	""""""" peace returned to assam after both hindus and muslims agreed to accept 1971 as the cut-off year for citizenship . today , the government wants to push the state towards unrest , """" he said at a convention organized by krishak mukti sangram samiti . he urged people who arrived in assam before 1971 to launch a united movement and scuttle the centre 's plan to regularize the entry of hindu immigrants from bangladesh ."""	0	0	1.0	0.9678310751914978	0.03216898441314697	1
19	@@21929081	disabled	gh	she said since 2014 , a total of 8000 intellectually disabled people in ghana had been offered special training to enhance their integration into society .	0	0	1.0	0.04069099575281143	0.959308922290802	0
20	@@1850827	immigrant	tz	"""in short , reasons behind the operation look reasonable . the problem however , has been on the implementation side , much as those behind it talk about its success - on the grounds that , after all , thousands of illegal immigrants have left """" voluntarily """" to their countries of origin , while others have also been repatriated , as leaving the country under the given circumstances was not optional ."""	0	0	1.0	0.8198996186256409	0.18010030686855316	1
21	@@4694770	immigrant	jm	sisi 's lawyer , grisel ybarra , said the cuban community is on edge amid the ongoing negotiations between washington and havana and the uncertainty about what renewed relations will mean for immigrants .	0	0	1.0	0.007885908707976341	0.9921140670776367	0
22	@@395048	vulnerable	ph	might this mean we 're more vulnerable to pain ? dr. francis javier , who until recently headed the pain management center at st. luke 's medical center , is looking into the genetics here , comparing filipinos of mixed ancestries to see if there are differences in the way pain medicines are broken down in the body .	0	0	1.0	0.9926780462265015	0.007321991957724094	1
23	@@25154641	homeless	ca	""""""" it highlights that different communities respond to the issue of homelessness in different ways , """" kneebone said ."""	0	0	1.0	0.0007176839862950146	0.9992823004722595	0
24	@@17221429	vulnerable	ph	""""""" the regional brands so far lag behind the global and big international chinese handset players in 4g and they have looked vulnerable to failing to jump the generation successfully and lose their place . """""""	0	0	1.0	0.999058187007904	0.0009418425615876913	1
25	@@7069687	refugee	au	the incidents deepened public doubts about chancellor angela merkel 's decision to open germany 's doors to refugees and migrants , whose numbers reached 1.1 million last year .	0	0	1.0	0.9414775967597961	0.058522362262010574	1
26	@@3659219	women	za	some say that a review of the legislation of sex work helps to protect all involved in the services provided by these men and women .	0	0	1.0	0.016048971563577652	0.9839510917663574	0
27	@@16669409	migrant	za	""""""" i think that , you know , led to me being detained for five hours , as opposed to another sudanese person who was detained for 30 hours and is in his seventies . so , i think that that 's one aspect of it . on the flip side , when i went to terminal 4 , they did n't know my background , and i did feel -- you know , i guess the point that i actually want to make is , you know , i think this order is a reflection of a larger trend in this country to criminalise black people , to criminalise immigrants to criminalise muslims . and as a black muslim immigrant , i 'm really concerned about that . and i do think that the somalis and sudanese , people of african descent who are going to be affected by this , you know , i think they 're going to be treated differently , frankly . """""""	0	0	1.0	0.557985782623291	0.442014217376709	1
28	@@9706470	hopeless	us	this year the 4th of july falls on monday , so you have a mere 24 hours to kick back and/or make the absolute most of your holiday before it 's back to the grind . with a time crunch like that , we can understand how it might seem hopeless , but never fear : lifehacker is here ! here are some tips to help you dive in headfirst and come out the other side of the holiday intact .	0	0	1.0	0.01634468138217926	0.9836553335189819	0
29	@@1306759	women	ca	farooqui said women 's groups were demanding fast-track courts to deal with rape and other crimes against women .	0	0	1.0	0.9561243653297424	0.0438755601644516	1
30	@@8969086	immigrant	my	""""""" i have the right family book . why do they say i 'm an immigrant and order me to pay 50,000 riel a year ? why do n't they acknowledge me as a cambodian citizen ? they just started this early this year . why was n't this a thing before ? """" mr. yang ros asked ."""	0	0	1.0	0.9921240210533142	0.007876021787524223	1
31	@@19025195	homeless	bd	nearly 110 families made homeless from the blaze are being housed at hotels in west london . churches and community centres are providing meals and support , and donations of clothing , toys and household supplies are flooding in .	0	0	1.0	0.9273850917816162	0.0726148784160614	1
32	@@16687353	refugee	my	"""cardinal tagle , who has visited refugee settlements as part of his role as caritas president , said he asks people who express reservations about receiving refugees and migrants , """" have you ever talked to a real refugee ? have you heard stories of real persons ? """""""	0	0	1.0	0.736078679561615	0.2639212906360626	1
33	@@8301323	disabled	pk	arshad said that besides learning many new aspects of sports leadership he learnt how fast-developing nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .	1	2	1.0	0.0019909741822630167	0.9980090260505676	0
34	@@24150149	disabled	ng	fast food employee who fed disabled man becomes internet sensation	1	3	0.5	0.8544845581054688	0.14551544189453125	1
35	@@7548760	migrant	za	"""the bloc 's 28 leaders will ask davutoglu 's government to accept """" large-scale """" deportations of economic migrants from greece , the main entry point to europe , and do more to implement a november deal to slow the flow of people into the bloc ."""	0	0	1.0	0.9906668066978455	0.009333232417702675	1
36	@@20493025	homeless	ng	the foundation urged those who are willing to raise fund for the homeless victims to click on the link below for donation .	0	1	0.5	0.9558107256889343	0.04418928176164627	1
37	@@3277512	homeless	lk	a fire that broke out in a labor camp in al sailiya on the 8th of may left approximately 300 sri lankans , employed at a janitorial service company in qatar , homeless . they have been provided with temporary lodging after the fire . expatriates who did not report to work under these circumstances have been arrested by the qatar authorities .	0	0	1.0	0.9938063621520996	0.006193635985255241	1
38	@@19143133	hopeless	bd	rizvi : there will be no joy this eid <h> ' the citizens of this nation are becoming hopeless '	0	1	0.5	0.9990222454071045	0.0009777434170246124	1
39	@@24700959	homeless	ke	floodtwo weeks ago , homes and farms were submerged by water , rendering a number of families in garissa and tana river homeless .	0	0	1.0	0.9986236095428467	0.001376348896883428	1
40	@@980736	immigrant	ie	some 800,000 undocumented people are expected to benefit from the policy that will see them receive deferred action from deportation . undocumented immigrants who arrived in the u.s. under the age of 16 and have lived in the u.s. for more than five years can apply for relief , once they are under the age of 30 .	0	0	1.0	0.02020455338060856	0.9797954559326172	0
41	@@20645208	disabled	ca	justin bour led off the ninth with his 22nd homer , and first since a six-week stint on the disabled list . ramos then gave up four singles , including two-out rbi hits by pinch-hitter a.j. ellis and ichiro suzuki .	0	0	1.0	0.15482023358345032	0.8451797962188721	0
42	@@4591694	hopeless	jm	vanessa had feelings of hopelessness in her final days which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the state . her letter was conveyed to this court official by an investigator from the office of the children 's advocate .	1	3	0.5	0.9976955056190491	0.002304425463080406	1
43	@@16948790	poor-families	in	""""""" there is food given to poor families here by the government but we have not been able to access it , """" gwauya 's mother , sithela , told the thomson reuters foundation ."""	0	0	1.0	0.998039186000824	0.001960812136530876	1
